筛选项名称,业务归属,公共分摊规则
null_compose,公共,时长
community_video_clips_edit,视频主APP-短视频产品,
page_creator_dub,视频主APP-短视频产品,
page_immersive_doubletab,视频主APP-短视频产品,
10200002,公共,时长
10200012,公共,时长
10200016,公共,时长
20100001,公共,时长
base_desc,视频主APP-直播,时长比例
check_page_app_publicity_page,公共,时长
check_page_CaptionEditActivity,公共,时长
check_page_HollywoodH5Activity,付费,
check_page_image_preview_activity,付费,
check_page_LocalVideoPlayerActivity,付费,
check_page_msg_detail,视频主APP-社区产品,
check_page_page_home_channel,公共,时长
check_page_QLDetailEpisodesListController,视频主APP-长视频产品,
check_page_QLFeedDetailViewController,视频主APP-社区产品,
check_page_QLHollywoodController_(null),付费,
check_page_QLHollywoodController_100137,付费,
check_page_QLIAPDetailViewController,付费,
check_page_QLImageBrowser,公共,时长
check_page_QLOpenSourceWebViewController,视频主APP-搜索产品,
check_page_SearchPagerActivity,视频主APP-搜索产品,
check_page_SettingAboutActivity,公共,时长
check_page_StarHomePagerActivity,视频主APP-社区产品,
check_page_sub_QLIAPDetailViewController,视频主APP-社区产品,
check_page_user_collect_video_page,视频主APP-长视频产品,
check_page_VideoListExhibitActivity,视频主APP-长视频产品,
cid_page,视频主APP-长视频产品,
cms_second_page,视频主APP-长视频产品,
cms_second_page_app,视频主APP-长视频产品,
creator_center_header_page_nav,视频主APP-短视频产品,
fold_list,视频主APP-长视频产品,
hot_play_today,视频主APP-长视频产品,
knowledge_bundle_page,视频主APP-社区产品,
knowledge_rank_detail,视频主APP-社区产品,
live_effects_manage,视频主APP-直播,
live_effects_shop,视频主APP-直播,
nba_community,视频主APP-社区产品,
nba_match_stats_recall,视频主APP-直播,
nba_match_text_live,视频主APP-直播,
nba_screen_documentary,视频主APP-长视频产品,
nba_screen_program,视频主APP-长视频产品,
none_QLWeeklyRecmdControllerViewController,视频主APP-长视频产品,
page_ad_landing,公共,时长
page_ad_landing_mix,公共,时长
page_ad_reward,公共,时长
page_ad_splash,公共,时长
page_add_list,视频主APP-长视频产品,
page_album_create,视频主APP-长视频产品,
page_album_detail,视频主APP-中视频产品,
page_album_manage,视频主APP-中视频产品,
page_article_to_video,公共,时长
page_beta_test,公共,时长
page_blive,视频主APP-直播,
page_blive_tab,视频主APP-直播,
page_broadcaster_live_buddylist,公共,时长
page_broadcaster_start_to_broadcaste,公共,时长
page_card_setting,视频主APP-直播,
page_channel_mgmt,视频主APP-长视频产品,
page_channel_sec_album,视频主APP-长视频产品,
page_channel_sec_binge_watching,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_comment,视频主APP-社区产品,
page_community_personal,视频主APP-社区产品,
page_cover_adjust_cover,视频主APP-短视频产品,
page_cp_recommend_sec,视频主APP-短视频产品,
page_creator_recommend,视频主APP-短视频产品,
page_creator_subscribe,视频主APP-短视频产品,
page_creator_subscribed,视频主APP-短视频产品,
page_data_manager,视频主APP-短视频产品,
page_detail,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_middel_video,视频主APP-中视频产品,
page_detail_discuss_h5,视频主APP-长视频产品,
page_detail_sec_download,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_download_clarity,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_float_poster,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_h5,视频主APP-长视频产品,
page_detail_sec_hidden_mark,视频主APP-社区产品,
page_detail_sec_intro,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_operate,视频主APP-长视频产品,
page_detail_sec_speed,视频主APP-长视频产品,
page_detail_sec_throwscreen,视频主APP-长视频产品/视频主APP-中视频产品/视频主APP-直播,时长比例
page_detail_sec_timingclose,视频主APP-长视频产品,
page_discuss,视频主APP-社区产品,
page_discuss_sec_topic,视频主APP-社区产品,
page_doki_benifits,视频主APP-社区产品,
page_doki_default,视频主APP-社区产品,
page_doki_detail_emoji,视频主APP-社区产品,
page_doki_detail_wallpaper,视频主APP-社区产品,
page_doki_dokilist,视频主APP-社区产品,
page_doki_fanclub,视频主APP-社区产品,
page_doki_fanclub_tophub,视频主APP-社区产品,
page_doki_fine,视频主APP-社区产品,
page_doki_first_search,视频主APP-社区产品,
page_doki_head_module,视频主APP-社区产品,
page_doki_honors_awards_sec,视频主APP-社区产品,
page_doki_hottopic,视频主APP-社区产品,
page_doki_new,视频主APP-社区产品,
page_doki_new_comment,视频主APP-社区产品,
page_doki_new_update,视频主APP-社区产品,
page_doki_plaza,视频主APP-社区产品,
page_doki_recom,视频主APP-社区产品,
page_doki_search_result,视频主APP-社区产品,
page_doki_sec_emoticon,视频主APP-社区产品,
page_doki_sec_video,视频主APP-社区产品,
page_doki_sec_wallpaper,视频主APP-社区产品,
page_doki_second_topic,视频主APP-社区产品,
page_doki_smart_search,视频主APP-社区产品,
page_doki_star,视频主APP-社区产品,
page_doki_startalk,视频主APP-社区产品,
page_doki_supp_zone,视频主APP-社区产品,
page_doki_topic_hotlist,视频主APP-社区产品,
page_doki_trip_zone,视频主APP-社区产品,
page_doki_video,视频主APP-社区产品,
page_doki_video_post,视频主APP-社区产品,
page_doki_works,视频主APP-社区产品,
page_dress_detail,公共,时长
page_dressup_detail,视频主APP-中视频产品,
page_drumstick_rank,视频主APP-中视频产品,
page_ecommerce,视频主APP-直播,
page_edit_second,公共,时长
page_fans_list,视频主APP-社区产品,
page_feed_detail,视频主APP-社区产品,
page_first_mylist,视频主APP-社区产品,
page_following_address_list,视频主APP-社区产品,
page_followlist,视频主APP-社区产品,
page_h5,公共,时长
page_history_repair,视频主APP-长视频产品,
page_home_channel,视频主APP-长视频产品/视频主APP-中视频产品/视频主APP-短视频产品/视频主APP-直播,时长比例
page_home_channel_bottomtab,视频主APP-长视频产品,
page_home_channel_toptab,视频主APP-长视频产品,
page_hotlist,视频主APP-社区产品,
page_hotlist_detail,视频主APP-社区产品,
page_immersive_sec_float_page,视频主APP-短视频产品,
page_list,视频主APP-长视频产品,
page_live_barrage_edit,视频主APP-直播,
page_live_hor_all,视频主APP-直播,
page_live_hor_half,视频主APP-直播,
page_live_ver,视频主APP-直播,
page_login,公共,时长
page_login_scanning,公共,时长
page_logout,公共,时长
page_long_video_sec,视频主APP-长视频产品,
page_manage_center_set,公共,时长
page_material_list,视频主APP-社区产品,
page_material_sec,视频主APP-社区产品,
page_message_float,视频主APP-社区产品,
page_my_barrage,视频主APP-社区产品,
page_my_list,公共,时长
page_new_plays,视频主APP-长视频产品,
page_notification,视频主APP-社区产品,
page_notification_set,视频主APP-社区产品,
page_personal_center,视频主APP-长视频产品,
page_personal_download,视频主APP-长视频产品,
page_personal_download_finish,视频主APP-长视频产品,
page_personal_download_virtual,公共,时长
page_personal_downloading,视频主APP-长视频产品,
page_personal_downloading_meantime,视频主APP-长视频产品,
page_personal_downloading_poster_popup,视频主APP-长视频产品,
page_personal_generating,视频主APP-短视频产品,
page_personal_generating_subpg,视频主APP-短视频产品,
page_personal_history,视频主APP-长视频产品,
page_personal_live,视频主APP-直播,
page_personal_local,视频主APP-长视频产品,
page_personal_notice,视频主APP-社区产品,
page_personal_notice_second,视频主APP-社区产品,
page_personal_search_result,视频主APP-短视频产品,
page_pic_list_cover,视频主APP-社区产品,
page_pic_preview,视频主APP-社区产品,
page_pic_preview_float,视频主APP-社区产品,
page_popup_window,视频主APP-长视频产品,
page_pr_landing,公共,时长
page_pr_landing_mix,公共,时长
page_pre_permission,公共,时长
page_pre_view_cover,公共,时长
page_pre_view_cover_after,公共,时长
page_public_main_list,视频主APP-短视频产品,
page_publish_choice_mid,视频主APP-直播,
page_publish_relate_search,视频主APP-短视频产品,
page_publish_relate_sec,视频主APP-短视频产品,
page_publish_sync_sec,视频主APP-短视频产品,
page_push_immersive_sec_page,视频主APP-短视频产品,
page_reply,视频主APP-社区产品,
page_search_home,视频主APP-搜索产品,
page_search_hotlist,视频主APP-搜索产品,
page_search_result,视频主APP-搜索产品,
page_search_sec_float_poster,视频主APP-搜索产品,
page_search_sug,视频主APP-搜索产品,
page_sec_chat_msg,视频主APP-社区产品,
page_sec_collection,视频主APP-短视频产品,
page_sec_contributions,公共,时长
page_sec_like_msg,公共,时长
page_sec_notify_msg,公共,时长
page_sec_personal_history,视频主APP-短视频产品,
page_sec_specific,视频主APP-短视频产品,
page_sec_topic,公共,时长
page_set_privacy,公共,时长
page_set_recommend,公共,时长
page_set_recommend_pop,公共,时长
page_share,公共,时长
page_share_sec_clarity,公共,时长
page_short_theme_sec,视频主APP-短视频产品,
page_smallvideo_immersive,视频主APP-短视频产品,
page_social_publish,视频主APP-社区产品,
page_special_column_sec,视频主APP-社区产品,
page_sum_nba,视频主APP-直播,
page_teen_gardian_verify,公共,时长
page_teenagers_password,视频主APP-小企鹅乐园,
page_teenagers_view_block,视频主APP-小企鹅乐园,
page_theme_aggr,公共,时长
page_timeline_card,视频主APP-长视频产品,
page_topic_search,视频主APP-搜索产品,
page_topic_sec_hotlist,视频主APP-社区产品,
page_uninteresting,公共,时长
page_unit_second,公共,时长
page_user_center_set,公共,时长
page_user_center_set_dark,公共,时长
page_version_update,公共,时长
page_video_upload,视频主APP-中视频产品,
page_vip_channel,付费,
page_vip_channel_toptab,付费,
personal_create_albums,视频主APP-长视频产品,
qiehao_h5_push,公共,时长
rec_second_page_app,公共,时长
StarIntroductionActivity,视频主APP-社区产品,
teenagers_notice,公共,时长
unknown,公共,时长
video_list_page,视频主APP-长视频产品,
watch_together,付费,
xxx,公共,时长
100114,公共,时长
110585,公共,时长
110801,公共,时长
10007001,公共,时长
10007002,公共,时长
10100007,公共,时长
10100008,公共,时长
10200003,公共,时长
10200004,公共,时长
20100002,公共,时长
20200001,公共,时长
0929ljyyanshi,公共,时长
8e1dccf44b19b00b,公共,时长
b3380a3b4e80b5c6,公共,时长
check_page_doki_whole,视频主APP-社区产品,
check_page_hotlist_detail,视频主APP-社区产品,
check_page_old_doki_manager,视频主APP-社区产品,
check_page_page_hot,视频主APP-社区产品,
check_page_VideoPhotoPreviewActivity,公共,时长
page_ad_playbox_bonus,视频主APP-商业化,
page_ad_task_detail_h5,视频主APP-商业化,
page_article_input,视频主APP-社区产品,
page_birthday_hippy,视频主APP-小企鹅乐园,
page_broadcaster_live_pk,视频主APP-直播,
page_comment_publish_h5,视频主APP-社区产品,
page_creator_home,视频主APP-短视频产品,
page_doki_data_upload,视频主APP-社区产品,
page_doki_second_list,视频主APP-社区产品,
page_draft_home,视频主APP-长视频产品,
page_dress_sec_mod,视频主APP-直播,
page_dress_setting_view,视频主APP-直播,
page_enable_pre_download,公共,时长
page_feed_detail_h5,视频主APP-长视频产品,
page_grade_mdl_detail,公共,时长
page_h5_share,公共,时长
page_ip_guide,公共,时长
page_linkchat_apply,公共,时长
page_live_broadcasting,视频主APP-直播,
page_live_error,视频主APP-直播,
page_login_cancellation_account,公共,时长
page_material_snippet,视频主APP-长视频产品,
page_movie_search,视频主APP-搜索产品,
page_notification_set_blocklist,视频主APP-社区产品,
page_personal_history_virtual,视频主APP-长视频产品,
page_personal_search_result_compose,视频主APP-长视频产品,
page_preview_snippet,视频主APP-长视频产品,
page_reset_recommend_pop,视频主APP-社区产品,
page_search_result_sec,视频主APP-搜索产品,
page_socical_publish_h5,视频主APP-短视频产品,
page_study_bought,视频主APP-小企鹅乐园,
page_study_plan,视频主APP-小企鹅乐园,
page_ugactivity_limitedfree_home,公共,时长
page_ugactivity_rpktrain_lach,公共,时长
page_ugactivity_rpktrain_result,公共,时长
page_ugactivity_rpktrain_start,公共,时长
page_video_order,视频主APP-长视频产品,
personal_collect_albums,公共,时长
player_component_page,视频主APP-长视频产品,
rec_second_page,视频主APP-长视频产品,
10200018,公共,时长
10200020,公共,时长
check_page_ImmersiveListActivity,公共,时长
page_ad_splash_bonus,视频主APP-商业化,
page_grade_mdl_publish,公共,时长
page_movie_search_sec,视频主APP-搜索产品,
page_personal_channel_change,公共,时长
page_pic_edit,公共,时长
page_search_home_sec,视频主APP-搜索产品,
pg_private,公共,时长
zoe_page_share,公共,时长
page_search_home_channel_filter_page,视频主APP-搜索产品,
page_creator_top_tab,视频主APP-短视频产品,
nba_community_edit,视频主APP-直播,
page_game_cloud_page,视频主APP-游戏,
page_material_choose,视频主APP-短视频产品,
page_material_list_young,视频主APP-小企鹅乐园,
blankspacex,公共,时长
page_live_hor,视频主APP-直播,
page_vote_create,视频主APP-社区产品,
10100009,公共,时长
page_ad_slide_bonus,视频主APP-商业化,,
reserve_second_page,公共,时长
page_fine_material,视频主APP-短视频产品,,
page_feedback_detail,视频主APP-短视频产品,,
10100006,公共,时长
page_channel_share,公共,时长
check_page_DokiWelfareContentFragment,视频主APP-社区产品,,
check_page_HotStartSplashActivity,公共,时长
page_sametype_material,视频主APP-短视频产品,,
page_draft_home_material,视频主APP-短视频产品,,
page_home,公共,时长